secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,delta,gamma,vega,theta,optionid,index_flag,issuer,exercise_style
101594,2018/06/13,2018/06/22,2018/06/13,P,185000,0.47,0.49,1258,0.195936,-0.154767,0.040616,7.124575,-27.75573,120389714,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,187500,0.94,0.95,1667,0.186625,-0.272007,0.059491,9.931913,-36.62322,120389715,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,190000,1.8,1.81,2661,0.182412,-0.437797,0.072417,11.79593,-42.11528,120389716,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,192500,3.1,3.2,1142,0.181972,-0.61911,0.07053,11.39369,-40.05194,120389717,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,195000,4.9,5,778,0.184584,-0.77324,0.055633,8.989776,-31.42936,120389718,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,197500,7.1,7.2,246,0.200781,-0.864378,0.037696,6.493473,-24.20523,120389719,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,200000,9.45,9.55,135,0.219808,-0.9162,0.025038,4.560873,-18.32696,120389720,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,202500,11.85,12.05,16,0.248802,-0.938681,0.017747,3.593301,-16.17185,120389721,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,205000,14.35,14.7,28,0.308445,-0.931352,0.015216,3.943425,-22.49421,120389722,0,APPLE INC,A
101594,2018/06/13,2018/06/22,2018/06/13,P,212500,21.7,22.05,2,0.362627,-0.972919,0.006708,1.842298,-11.90635,120389725,0,APPLE INC,A
101594,2018/06/13,2018/06/29,2018/06/13,P,165000,0.04,0.07,11,0.314369,-0.01235,0.002555,1.280416,-4.542505,120452027,0,APPLE INC,A
101594,2018/06/13,2018/06/29,2018/06/13,P,167500,0.06,0.09,4,0.298909,-0.017072,0.00355,1.694464,-5.700355,120452028,0,APPLE INC,A
101594,2018/06/13,2018/06/29,2018/06/13,P,170000,0.08,0.11,30,0.279645,-0.022377,0.004775,2.123003,-6.70197,120452029,0,APPLE INC,A
101594,2018/06/13,2018/06/29,2018/06/13,P,172500,0.1,0.12,33,0.255654,-0.027608,0.006229,2.542141,-7.294134,120452030,0,APPLE INC,A
101594,2018/06/13,2018/06/29,2018/06/13,P,175000,0.14,0.15,63,0.236414,-0.037703,0.008711,3.280551,-8.703955,120452031,0,APPLE INC,A
101594,2018/06/13,2018/06/29,2018/06/13,P,177500,0.21,0.23,184,0.222611,-0.056987,0.012888,4.560327,-11.38785,120452032,0,APPLE INC,A
101594,2018/06/13,2018/06/29,2018/06/13,P,180000,0.32,0.35,148,0.208325,-0.086154,0.018921,6.274397,-14.59159,120452033,0,APPLE INC,A
101594,2018/06/13,2018/06/29,2018/06/13,P,182500,0.53,0.56,234,0.197306,-0.134724,0.027564,8.660559,-18.97966,120452034,0,APPLE INC,A
